Incident Id,Issue Type,RCA,Steps to Resolve,Tags,Positive_Counter,Negative_Counter
10030,Service Crash,Unhandled exception in service logic,Added exception handling and logging.,"Service, Crash",0,0
10031,Login Failure,Misconfiguration of authentication API,Reset authentication settings and redeploy configuration.,"Authentication, API",0,0
10032,Database Timeout,Query optimization required,Optimized SQL query and added indexing.,"Database, SQL",0,0
10033,API Timeout,Network latency,Increased timeout settings and improved error handling.,"API, Network",0,0
10034,Memory Leak,Inefficient memory management in code,Refactored code to handle memory allocation properly.,"Memory, Code Fix",0,0
10035,Data Corruption,Improper data serialization,Implemented data validation and corrected serialization.,"Data, Serialization",0,0
10036,UI Not Responsive,Poor performance in front-end,Optimized front-end code and used lazy loading.,"UI, Performance",0,0
10037,API Authentication,Expired token,Refreshed tokens and updated token expiration settings.,"API, Authentication",0,0
10038,High CPU Usage,Infinite loop in code,Fixed loop condition to terminate correctly.,"CPU, Code Issue",0,0
10039,File Upload Failure,Incorrect file format validation,Updated file validation rules and allowed correct formats.,"File, Validation",0,0
10040,Service Crash,Unhandled exception in service logic,Added exception handling and logging.,"Service, Crash",0,0
10041,Login Failure,Misconfiguration of authentication API,Reset authentication settings and redeploy configuration.,"Authentication, API",0,0
10042,Database Timeout,Query optimization required,Optimized SQL query and added indexing.,"Database, SQL",0,0
10043,API Timeout,Network latency,Increased timeout settings and improved error handling.,"API, Network",0,0
10044,Memory Leak,Inefficient memory management in code,Refactored code to handle memory allocation properly.,"Memory, Code Fix",0,0
10045,Data Corruption,Improper data serialization,Implemented data validation and corrected serialization.,"Data, Serialization",0,0
10046,UI Not Responsive,Poor performance in front-end,Optimized front-end code and used lazy loading.,"UI, Performance",0,0
10047,API Authentication,Expired token,Refreshed tokens and updated token expiration settings.,"API, Authentication",0,0
10048,High CPU Usage,Infinite loop in code,Fixed loop condition to terminate correctly.,"CPU, Code Issue",0,0
10049,File Upload Failure,Incorrect file format validation,Updated file validation rules and allowed correct formats.,"File, Validation",0,0
10050,Service Crash,Unhandled exception in service logic,Added exception handling and logging.,"Service, Crash",0,0
10051,Login Failure,Misconfiguration of authentication API,Reset authentication settings and redeploy configuration.,"Authentication, API",0,0
10052,Database Timeout,Query optimization required,Optimized SQL query and added indexing.,"Database, SQL",0,0
10053,API Timeout,Network latency,Increased timeout settings and improved error handling.,"API, Network",0,0
10054,Memory Leak,Inefficient memory management in code,Refactored code to handle memory allocation properly.,"Memory, Code Fix",0,0
10055,Data Corruption,Improper data serialization,Implemented data validation and corrected serialization.,"Data, Serialization",0,0
10056,UI Not Responsive,Poor performance in front-end,Optimized front-end code and used lazy loading.,"UI, Performance",0,0
10057,API Authentication,Expired token,Refreshed tokens and updated token expiration settings.,"API, Authentication",0,0
10058,High CPU Usage,Infinite loop in code,Fixed loop condition to terminate correctly.,"CPU, Code Issue",0,0
10059,File Upload Failure,Incorrect file format validation,Updated file validation rules and allowed correct formats.,"File, Validation",0,0
10060,Service Crash,Unhandled exception in service logic,Added exception handling and logging.,"Service, Crash",0,0
10061,Login Failure,Misconfiguration of authentication API,Reset authentication settings and redeploy configuration.,"Authentication, API",0,0
10062,Database Timeout,Query optimization required,Optimized SQL query and added indexing.,"Database, SQL",0,0
10063,API Timeout,Network latency,Increased timeout settings and improved error handling.,"API, Network",0,0
10064,Memory Leak,Inefficient memory management in code,Refactored code to handle memory allocation properly.,"Memory, Code Fix",0,0
10065,Data Corruption,Improper data serialization,Implemented data validation and corrected serialization.,"Data, Serialization",0,0
10066,UI Not Responsive,Poor performance in front-end,Optimized front-end code and used lazy loading.,"UI, Performance",0,0
10067,API Authentication,Expired token,Refreshed tokens and updated token expiration settings.,"API, Authentication",0,0
10068,High CPU Usage,Infinite loop in code,Fixed loop condition to terminate correctly.,"CPU, Code Issue",0,0
10069,File Upload Failure,Incorrect file format validation,Updated file validation rules and allowed correct formats.,"File, Validation",0,0
10070,Service Crash,Unhandled exception in service logic,Added exception handling and logging.,"Service, Crash",0,0
10071,Login Failure,Misconfiguration of authentication API,Reset authentication settings and redeploy configuration.,"Authentication, API",0,0
10072,Database Timeout,Query optimization required,Optimized SQL query and added indexing.,"Database, SQL",0,0
10073,API Timeout,Network latency,Increased timeout settings and improved error handling.,"API, Network",0,0
10074,Memory Leak,Inefficient memory management in code,Refactored code to handle memory allocation properly.,"Memory, Code Fix",0,0
10075,Data Corruption,Improper data serialization,Implemented data validation and corrected serialization.,"Data, Serialization",0,0
10076,UI Not Responsive,Poor performance in front-end,Optimized front-end code and used lazy loading.,"UI, Performance",0,0
10077,API Authentication,Expired token,Refreshed tokens and updated token expiration settings.,"API, Authentication",0,0
10078,High CPU Usage,Infinite loop in code,Fixed loop condition to terminate correctly.,"CPU, Code Issue",0,0
10079,File Upload Failure,Incorrect file format validation,Updated file validation rules and allowed correct formats.,"File, Validation",0,0
10080,Service Crash,Unhandled exception in service logic,Added exception handling and logging.,"Service, Crash",0,0
10081,Login Failure,Misconfiguration of authentication API,Reset authentication settings and redeploy configuration.,"Authentication, API",0,0
10082,Database Timeout,Query optimization required,Optimized SQL query and added indexing.,"Database, SQL",0,0
10083,API Timeout,Network latency,Increased timeout settings and improved error handling.,"API, Network",0,0
10084,Memory Leak,Inefficient memory management in code,Refactored code to handle memory allocation properly.,"Memory, Code Fix",0,0
10085,Data Corruption,Improper data serialization,Implemented data validation and corrected serialization.,"Data, Serialization",0,0
10086,UI Not Responsive,Poor performance in front-end,Optimized front-end code and used lazy loading.,"UI, Performance",0,0
10087,API Authentication,Expired token,Refreshed tokens and updated token expiration settings.,"API, Authentication",0,0
10088,High CPU Usage,Infinite loop in code,Fixed loop condition to terminate correctly.,"CPU, Code Issue",0,0
10089,File Upload Failure,Incorrect file format validation,Updated file validation rules and allowed correct formats.,"File, Validation",0,0
10090,Service Crash,Unhandled exception in service logic,Added exception handling and logging.,"Service, Crash",0,0
10091,Login Failure,Misconfiguration of authentication API,Reset authentication settings and redeploy configuration.,"Authentication, API",0,0
10092,Database Timeout,Query optimization required,Optimized SQL query and added indexing.,"Database, SQL",0,0
10093,API Timeout,Network latency,Increased timeout settings and improved error handling.,"API, Network",0,0
10094,Memory Leak,Inefficient memory management in code,Refactored code to handle memory allocation properly.,"Memory, Code Fix",0,0
10095,Data Corruption,Improper data serialization,Implemented data validation and corrected serialization.,"Data, Serialization",0,0
10096,UI Not Responsive,Poor performance in front-end,Optimized front-end code and used lazy loading.,"UI, Performance",0,0
10097,API Authentication,Expired token,Refreshed tokens and updated token expiration settings.,"API, Authentication",0,0
10098,High CPU Usage,Infinite loop in code,Fixed loop condition to terminate correctly.,"CPU, Code Issue",0,0
10099,File Upload Failure,Incorrect file format validation,Updated file validation rules and allowed correct formats.,"File, Validation",0,0
10100,Service Crash,Unhandled exception in service logic,Added exception handling and logging.,"Service, Crash",0,0
20001,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20002,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20003,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20004,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20005,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20006,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20007,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20008,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",9,0
20009,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20010,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20011,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20012,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20013,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20014,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20015,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20016,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20017,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20018,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20019,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20020,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20021,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20022,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20023,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20024,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20025,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20026,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20027,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20028,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20029,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20030,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20031,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20032,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20033,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20034,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20035,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20036,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20037,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20038,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20039,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20040,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20041,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20042,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20043,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20044,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20045,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20046,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20047,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20048,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20049,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20050,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20051,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20052,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20053,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20054,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20055,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20056,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20057,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20058,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20059,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20060,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20061,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20062,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20063,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20064,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20065,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20066,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20067,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20068,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20069,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20070,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20071,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20072,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20073,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20074,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20075,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20076,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20077,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20078,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20079,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20080,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20081,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20082,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20083,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20084,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20085,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20086,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20087,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20088,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20089,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20090,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20091,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20092,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20093,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20094,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20095,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20096,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20097,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20098,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20099,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20100,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20101,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20102,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20103,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20104,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20105,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20106,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20107,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20108,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20109,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20110,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20111,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20112,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20113,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20114,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20115,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20116,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20117,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20118,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20119,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20120,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20121,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20122,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20123,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20124,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20125,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20126,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20127,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20128,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20129,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20130,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20131,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20132,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20133,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20134,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20135,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20136,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20137,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20138,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20139,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20140,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20141,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20142,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20143,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20144,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20145,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20146,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20147,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20148,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20149,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20150,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20151,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20152,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20153,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20154,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20155,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20156,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20157,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20158,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20159,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20160,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20161,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20162,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20163,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20164,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20165,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20166,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20167,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20168,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20169,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20170,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20171,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20172,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20173,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20174,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
