Summary,Description,Custom field (Root Cause),Comment,Issue Type,Status,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Watchers,Custom field (Approvers),Custom field (Approvers)Id,Custom field (Epic Link),Epic Link Summary,Sprint,Parent,Parent summary
No Display Output,Monitor remains blank when powered on.,Issues with the graphics card or monitor.,Steps to Resolve: Test with another monitor. Reseat the graphics card. Replace the card if necessary.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Computer Randomly Crashes,System crashes without warning.,Overheating or faulty hardware.,Steps to Resolve: Monitor temperatures. Check hardware components. Run diagnostics.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Boot Loop,Computer continuously restarts.,Corrupted OS or faulty hardware.,Steps to Resolve: Boot in safe mode. Repair the OS. Check for hardware issues.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Slow Performance,System runs slower than usual.,Insufficient RAM or background processes.,Steps to Resolve: Close unnecessary applications. Upgrade RAM if needed. Check for malware.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Noisy Fans,Fans are louder than usual.,Dust buildup or failing fan.,Steps to Resolve: Clean dust from fans. Replace failing fans.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Corrupted Data,Files become unreadable or corrupted.,Hard drive failure or improper shutdown.,Steps to Resolve: Run disk repair utilities. Backup data. Replace the hard drive if necessary.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
BIOS Update Failure,BIOS fails to update.,Power interruption or incorrect BIOS file.,Steps to Resolve: Ensure stable power during update. Use the correct file for your motherboard.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Invalid Boot Disk,System cannot boot from selected disk.,Boot sector corruption or wrong boot order.,Steps to Resolve: Check boot order in BIOS. Repair the boot sector.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Peripheral Device Not Recognized,"Keyboard, mouse, or other peripherals not detected.",Faulty ports or drivers.,Steps to Resolve: Test on another computer. Update or reinstall drivers.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Webcam Not Working,Webcam is not detected by the system.,Driver issues or hardware failure.,Steps to Resolve: Check connections. Update webcam drivers. Test with another device.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Printer Not Responding,Printer does not receive print jobs.,Connectivity issues or driver problems.,Steps to Resolve: Check connections. Restart printer and computer. Update printer drivers,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
External Hard Drive Not Recognized,External hard drive does not appear in File Explorer.,Faulty cable or drive failure.,Steps to Resolve: Try a different cable. Test on another computer.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Audio Issues,No sound output from speakers or headphones.,Driver issues or hardware failure.,Steps to Resolve: Check audio settings. Update audio drivers. Test with different speakers.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Failed Windows Update,Windows updates fail to install.,Corrupted files or insufficient space.,Steps to Resolve: Free up space. Run Windows Update troubleshooter.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
CPU Not Detected,System fails to recognize the CPU.,Incorrect installation or BIOS settings.,Steps to Resolve: Reseat the CPU. Check BIOS settings.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Loud Hard Drive,Hard drive makes unusual noises.,Mechanical failure or bad sectors.,Steps to Resolve: Backup data immediately. Replace the hard drive,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Boot Device Priority Issues,System fails to boot from the correct device.,Incorrect BIOS settings.,Steps to Resolve: Enter BIOS and adjust boot order.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Incompatible Hardware,New hardware components cause system instability.,Hardware incompatibility or outdated firmware.,Steps to Resolve: Check compatibility lists. Update firmware.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Laptop Battery Not Charging,Laptop battery fails to charge.,Faulty charger or battery.,Steps to Resolve: Test with another charger. Replace the battery if needed.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Wireless Network Issues,Unable to connect to Wi-Fi.,Signal interference or faulty adapter.,Steps to Resolve: Restart router and device. Update Wi-Fi drivers.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Overclocking Instability,System crashes when overclocked.,Insufficient cooling or unstable settings.,Steps to Resolve: Revert to default settings. Improve cooling solutions.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Unresponsive Touchscreen,Touchscreen does not respond to input.,Driver issues or hardware failure.,Steps to Resolve: Update touchscreen drivers. Perform a hardware reset.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Failure to Recognize RAM,System fails to boot due to RAM issues.,Defective RAM or incorrect installation.,Steps to Resolve: Reseat RAM modules. Test with different sticks.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
System Time Incorrect,Computer clock shows wrong time.,CMOS battery failure.,Steps to Resolve: Replace the CMOS battery.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Inconsistent Internet Speeds,Internet speeds fluctuate significantly.,Network congestion or faulty router.,Steps to Resolve: Restart router. Test with a wired connection.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
No POST (Power-On Self-Test),System fails to complete POST.,Hardware failure or power issues.,Steps to Resolve: Reseat components. Test power supply.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
RAM Overheating,RAM modules become excessively hot.,Poor airflow or defective RAM.,Steps to Resolve: Improve case ventilation. Replace RAM if defective.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
CPU Throttling,CPU reduces performance under load.,Overheating or power issues.,Steps to Resolve: Improve cooling solutions. Ensure proper power delivery.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Firmware Corruption,Device firmware becomes corrupted.,Incomplete updates or power loss during flashing.,Steps to Resolve: Reflash firmware using recovery tools.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Blue Screen of Death (BSOD),System crashes with a blue error screen.,Hardware conflicts or driver issues.,Steps to Resolve: Note error code. Check hardware compatibility. Update drivers.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Inconsistent Fan Operation,Fans spin erratically or not at all.,Faulty fan controller or power issues.,Steps to Resolve: Check connections. Replace fans if necessary.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Monitor Resolution Issues,Monitor displays incorrect resolution.,Driver issues or incorrect settings.,Steps to Resolve: Update graphics drivers. Adjust display settings.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Keyboard Keys Sticking,Keys do not respond or stick.,Dirt or debris under keys.,Steps to Resolve: Clean the keyboard. Replace if necessary.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Graphics Card Overheating,GPU temperatures exceed safe limits.,Insufficient cooling or dust buildup.,Steps to Resolve: Clean GPU heatsink. Consider aftermarket cooling solutions.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Failure to Detect External Displays,External monitors are not recognized.,Cable issues or graphics driver problems.,Steps to Resolve: Test cables. Update graphics drivers.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
CD/DVD Drive Not Reading Discs,Optical drive fails to read CDs or DVDs.,Dirty lens or mechanical failure.,Steps to Resolve: Clean the optical lens. Replace the drive if necessary.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
I/O Port Failure,Input/Output ports do not function.,Physical damage or driver issues.,Steps to Resolve: Inspect for damage. Update drivers.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Touchpad Malfunction,Touchpad is unresponsive or erratic.,Driver issues or hardware failure.,Steps to Resolve: Update touchpad drivers. Test with an external mouse.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Corrupt Boot Configuration,Windows fails to boot due to configuration issues.,Corrupted boot files.,Steps to Resolve: Use Windows recovery tools to repair boot configuration.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Unexpected Shutdowns,System powers off without warning.,Overheating or power supply issues.,Steps to Resolve: Check cooling systems. Test the power supply,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Hardware Compatibility Issues,New components fail to work with existing hardware.,Incompatibility between components.,Steps to Resolve: Research compatibility before purchasing. Return incompatible parts.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Network Adapter Failure,Wired or wireless network connections fail.,Faulty network adapter or cable.,Steps to Resolve: Test with different cables or adapters. Replace if necessary.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Inconsistent Audio Playback,Sound cuts in and out during playback.,Driver issues or hardware conflicts.,Steps to Resolve: Update audio drivers. Check for resource conflicts.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Laptop Hinges Issues,Hinges are loose or broken.,Wear and tear or improper handling.,Steps to Resolve: Tighten screws or replace hinges.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Monitor Color Issues,Monitor displays incorrect colors.,Calibration issues or faulty graphics card.,Steps to Resolve: Calibrate monitor settings. Test with another graphics card.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Faulty Expansion Slots,Expansion cards do not function in slots.,Damaged slots or motherboard issues.,Steps to Resolve: Inspect slots for damage. Test with different cards.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
